Store Name,Products,Data range: rows 21k-25k,Date Range Start,4/2/2020,Date Range End,4/12/2020,Formula,"Formula: IFERROR(TRANSPOSE(UNIQUE( FILTER( 'Auto Import'!$D$21000:$D$25000, 'Auto Import'!$A$21000:$A$25000 = A9, 'Auto Import'!$B$21000:$B$25000 > $E$1, 'Auto Import'!$B$21000:$B$25000 < $G$1 ) ) ))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambo Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacostia Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Market (Florida Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Blair Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Supermarket and Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton Market,"Orange, Large",Banana,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious","Clementines, bag",Lemon,Lime,"Avocado, Hass",Ginger,"Mushroom, White (clamshell)","Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho","Spring Mix,Organic","Fruit, Fresh Cut Mixed","Strawberries, Fresh Cut",Blueberries,"Garlic, Loose","Tomato, Slicer",,,,,,,,,,,,,,,,
Night N Day 24 Hour Store,Banana,"Apple, Golden Delicious","Apple, Red Delicious","Orange, Large","Pepper, Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrets of Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipley Super Market,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut",Banana,"Apple, Golden Delicious","Apple, Red Delicious","Clementines, bag",Lemon,Lime,"Pear, Bartlett","Pear, Red","Lettuce, Cello","Onion, Yellow","Onion, Red","Pepper, Green","Kale, Mix (Fresh Express)","Strawberries, Fresh Cut","Orange, Large",Peach,Plum,"Garlic, Loose","Tomato, Slicer",Broccoli Florets,,,,,,,,,,,,,
Smiley Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonya's Market,Lemon,Lime,"Mango, Organic","Avocado, Hass","Onion, Yellow","Potato, Baking Idaho","Tomato, Slicer","Spinach, Frozen Vegetables","Orange, Large","Garlic, Loose","Pepper, Green","Apple, Golden Delicious",Banana,"Onion, Red",,,,,,,,,,,,,,,,,,,,,,,,,
Starlight Food,"Fruit, Fresh Cut Mixed",Lemon,Lime,"Orange, Large","Onion, Red","Onion, Yellow","Pepper, Green","Tomato, Slicer","Grapes, Green seedless, Fresh Cut",Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T & G Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Avenue Convenience Store,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Apple, Red Delicious",Banana,Lemon,Lime,"Orange, Large",Plum,Ginger,"Onion, Green (scallion)","Onion, Red","Onion, Yellow","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,
The Cupboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas & Sons Food Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni's Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uptown Market,"Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,"Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,"Orange, Large","Avocado, Hass","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,
Wheeler Market,Blueberries,Banana,"Apple, Red Delicious","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Trail Mix, Healthy Corners","Orange, Large",Strawberries,"Kiwi, 4 pack","Apple, Golden Delicious","Onion, Green (scallion)","Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho",Lime,Lemon,Peach,Plum,,,,,,,,,,,,,,,,,
Yang Market,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Mango, Fresh Cut","Apple, Red Delicious",Banana,Blueberries,"Carrots, Organic","Kiwi, 4 pack","Mango, Organic",Tangerines & Clementine,"Strawberries, Fresh Cut","Cucumber, Seedless",Ginger,"Mushroom, White (clamshell)","Onion, Green (scallion)","Pepper, Jalapeno","Potato, Baking Idaho","Avocado, Hass","Trail Mix, Healthy Corners","Pineapple, Fresh Cut","Orange, Large",Strawberries,"Garlic, Loose","Lettuce, Artisan","Pepper, Red","tomato, cherry","Tomato, grape (organic)","Spinach, Fresh Cut (Organic)","Apple, Golden Delicious",Lemon,Kale (bunch),"Lettuce, Butterhead (clamshell)","Lettuce, Cello","Tomato, Slicer","Grapes, Red seedless, Fresh Cut",Lime,"Mushroom, Baby Bella","Onion, Red","Pepper, Green"
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
